name,description,overrides
mr-v2-squeeze,MR with BB squeeze filter only,InpEnableAsianBreakout=false\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMrMaxTrades=8\nInpMrAdxMax=0.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=0\nInpEnableDdScaling=false
mr-v2-cooldown,MR with 2-loss cooldown only,InpEnableAsianBreakout=false\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMrMaxTrades=8\nInpMrAdxMax=0.0\nInpMrBbMinWidth=0.0\nInpMaxConsecLoss=2\nInpEnableDdScaling=false
mr-v2-widersl,MR with ATR 2.0 SL only,InpEnableAsianBreakout=false\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMrMaxTrades=8\nInpMrSlAtr=2.0\nInpMrAdxMax=0.0\nInpMrBbMinWidth=0.0\nInpMaxConsecLoss=0\nInpEnableDdScaling=false
mr-v2-full,MR with all 5 improvements,InpEnableAsianBreakout=false\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMrMaxTrades=8\nInpMrSlAtr=2.0\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true
mr-v2-full-lowrisk,MR all improvements conservative risk,InpEnableAsianBreakout=false\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.25\nInpMrMaxTrades=8\nInpMrSlAtr=2.0\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true
mr-v2-noadx,MR wider SL + squeeze + cooldown + DD scaling (no ADX),InpEnableAsianBreakout=false\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMrMaxTrades=8\nInpMrSlAtr=2.0\nInpMrAdxMax=0.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true
mr-v2-noadx-lowrisk,MR wider SL + squeeze + cooldown + DD scaling + low risk (no ADX),InpEnableAsianBreakout=false\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.25\nInpMrMaxTrades=8\nInpMrSlAtr=2.0\nInpMrAdxMax=0.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true
mr-v3,MR phase 5 full improvements,InpEnableAsianBreakout=false\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMrMaxTrades=8\nInpMrSlAtr=2.0\nInpMrAdxMax=0.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=0\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=10\nInpNyOverlapEndHour=18
mr-v4-safe,MR with Regime Filter and Trailing BE but keeping ADX and strict SL,InpEnableAsianBreakout=false\nInpEnableMeanReversion=true\nInpEnableMomentum=false\nInpDynamicAllocation=false\nInpRiskPerTradePct=0.5\nInpMrMaxTrades=8\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16
dynamic-balanced,Dynamic allocation all strategies balanced risk,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.5\nInpMaxDailyLossPct=3.0\nInpMaxDailyTrades=15\nInpMaxOpenTrades=3\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=2\nInpMrMaxTrades=6\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=2
dynamic-conservative,Dynamic allocation all strategies conservative risk,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=8\nInpMaxOpenTrades=2\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-riskguard-balanced,Dynamic allocation balanced risk with global riskguard accounting,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.5\nInpMaxDailyLossPct=3.0\nInpMaxDailyTrades=15\nInpMaxOpenTrades=3\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=2\nInpMrMaxTrades=6\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=2
dynamic-riskguard-conservative,Dynamic allocation conservative risk with global riskguard accounting,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=8\nInpMaxOpenTrades=2\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-strict,Dynamic riskguard with strict breakout regime direction and quality filters,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=8\nInpMaxOpenTrades=2\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=18.0\nInpBreakoutAdxMax=35.0\nInpBreakoutRangeAtrMin=0.12\nInpBreakoutRangeAtrMax=0.55\nInpBreakoutPriorDayAtrMax=1.8\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-soft,Dynamic riskguard with softer breakout regime direction and quality filters,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=8\nInpMaxOpenTrades=2\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=14.0\nInpBreakoutAdxMax=45.0\nInpBreakoutRangeAtrMin=0.08\nInpBreakoutRangeAtrMax=0.75\nInpBreakoutPriorDayAtrMax=2.4\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-volonly,Dynamic riskguard with breakout ADX and range filters only both directions allowed,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=8\nInpMaxOpenTrades=2\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=false\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=14.0\nInpBreakoutAdxMax=45.0\nInpBreakoutRangeAtrMin=0.08\nInpBreakoutRangeAtrMax=0.75\nInpBreakoutPriorDayAtrMax=0.0\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-strict-both,Strict breakout regime with both breakout directions allowed,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=8\nInpMaxOpenTrades=2\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=false\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=18.0\nInpBreakoutAdxMax=35.0\nInpBreakoutRangeAtrMin=0.12\nInpBreakoutRangeAtrMax=0.55\nInpBreakoutPriorDayAtrMax=1.8\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-strict-wide,Strict breakout regime with wider ADX range and ATR quality filters,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=8\nInpMaxOpenTrades=2\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=14.0\nInpBreakoutAdxMax=45.0\nInpBreakoutRangeAtrMin=0.08\nInpBreakoutRangeAtrMax=0.75\nInpBreakoutPriorDayAtrMax=2.4\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-strict-fill,Strict breakout regime with tighter entry buffer and longer pending-order lifetime,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=8\nInpMaxOpenTrades=2\nInpLondonEndHour=15\nInpBreakoutBuffer=0.5\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=18.0\nInpBreakoutAdxMax=35.0\nInpBreakoutRangeAtrMin=0.12\nInpBreakoutRangeAtrMax=0.55\nInpBreakoutPriorDayAtrMax=1.8\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-strict-wide-fill,Strict breakout regime with wider quality filters plus tighter buffer and longer order lifetime,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=8\nInpMaxOpenTrades=2\nInpLondonEndHour=15\nInpBreakoutBuffer=0.5\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=14.0\nInpBreakoutAdxMax=45.0\nInpBreakoutRangeAtrMin=0.08\nInpBreakoutRangeAtrMax=0.75\nInpBreakoutPriorDayAtrMax=2.4\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-strict-maxfreq,Strict breakout regime maximum frequency ladder with both directions wider filters tighter buffer longer lifetime and two breakout trades,InpEnableAsianBreakout=true\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=8\nInpMaxOpenTrades=2\nInpLondonEndHour=15\nInpBreakoutBuffer=0.5\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=2\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=false\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=14.0\nInpBreakoutAdxMax=45.0\nInpBreakoutRangeAtrMin=0.08\nInpBreakoutRangeAtrMax=0.75\nInpBreakoutPriorDayAtrMax=2.4\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-riskguard-conservative-ny,Dynamic riskguard conservative plus NY breakout comparison variant,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=3\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-strict-ny,Strict breakout regime plus NY breakout comparison variant,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=3\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=18.0\nInpBreakoutAdxMax=35.0\nInpBreakoutRangeAtrMin=0.12\nInpBreakoutRangeAtrMax=0.55\nInpBreakoutPriorDayAtrMax=1.8\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-soft-ny,Soft breakout regime plus NY breakout comparison variant,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=3\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=true\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=14.0\nInpBreakoutAdxMax=45.0\nInpBreakoutRangeAtrMin=0.08\nInpBreakoutRangeAtrMax=0.75\nInpBreakoutPriorDayAtrMax=2.4\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
dynamic-breakout-regime-volonly-ny,Volatility-only breakout regime plus NY breakout comparison variant,InpEnableAsianBreakout=true\nInpEnableNyBreakout=true\nInpNyBreakoutRangeStartHour=7\nInpNyBreakoutRangeEndHour=12\nInpNyBreakoutStartHour=13\nInpNyBreakoutEndHour=18\nInpNyBreakoutBuffer=0.5\nInpNyBreakoutMinRange=200.0\nInpNyBreakoutMaxRange=5000.0\nInpNyBreakoutRR=1.5\nInpNyBreakoutMaxTrades=1\nInpEnableMeanReversion=true\nInpEnableMomentum=true\nInpDynamicAllocation=true\nInpGatekeeperAdxPeriod=14\nInpGatekeeperAdxLevel=25.0\nInpRiskPerTradePct=0.25\nInpMaxDailyLossPct=2.0\nInpMaxDailyTrades=12\nInpMaxOpenTrades=3\nInpBreakoutMinRange=200.0\nInpBreakoutMaxRange=3000.0\nInpBreakoutMaxTrades=1\nInpBreakoutRegimeFilter=true\nInpBreakoutDirectionFilter=false\nInpBreakoutTrendEmaPeriod=50\nInpBreakoutAdxPeriod=14\nInpBreakoutAdxMin=14.0\nInpBreakoutAdxMax=45.0\nInpBreakoutRangeAtrMin=0.08\nInpBreakoutRangeAtrMax=0.75\nInpBreakoutPriorDayAtrMax=0.0\nInpMrMaxTrades=4\nInpMrSlAtr=1.5\nInpMrAdxMax=25.0\nInpMrBbMinWidth=0.3\nInpMaxConsecLoss=2\nInpEnableDdScaling=true\nInpMrRegimeFilter=true\nInpMrTrailBE=true\nInpMrTrailBETrigger=1.0\nInpNyOverlapStartHour=12\nInpNyOverlapEndHour=16\nInpMomMaxTrades=1
