name,description,overrides
perf-on-boost,Allocation ON with boost tier enabled,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=true\nInpPerfBoostMult=1.25\nInpPerfPfBoost=1.50
perf-on-fast,Allocation ON shorter window faster adaptation,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=true\nInpPerfWindowN=20\nInpPerfMinSample=6
perf-on-strict,Allocation ON stricter probation floor,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=true\nInpPerfPfFloor=1.00\nInpPerfProbationMult=0.0
perf-on-conc,Allocation ON concentrate boost winners cut losers,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=true\nInpPerfWindowN=30\nInpPerfMinSample=8\nInpPerfPfFloor=0.85\nInpPerfProbationMult=0.0\nInpPerfPfBoost=1.25\nInpPerfBoostMult=1.5
perf-on-conc-soft,Allocation ON concentrate with softer probation 0.25,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=true\nInpPerfWindowN=30\nInpPerfMinSample=8\nInpPerfPfFloor=0.85\nInpPerfProbationMult=0.25\nInpPerfPfBoost=1.25\nInpPerfBoostMult=1.5
perf-on-conc-lowbar,Allocation ON concentrate lower boost bar gentler lever,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=true\nInpPerfWindowN=30\nInpPerfMinSample=8\nInpPerfPfFloor=0.85\nInpPerfProbationMult=0.0\nInpPerfPfBoost=1.20\nInpPerfBoostMult=1.25
perf-on-conc-strict,Allocation ON concentrate with hard PF floor 1.0 cuts VWAP harder,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=true\nInpPerfWindowN=30\nInpPerfMinSample=8\nInpPerfPfFloor=1.00\nInpPerfProbationMult=0.0\nInpPerfPfBoost=1.25\nInpPerfBoostMult=1.5
mom-mr-conc,Momentum plus MR only VWAP disabled with concentration,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=false\nInpEnableMomentum=true\nInpEnablePerfAllocation=true\nInpPerfWindowN=30\nInpPerfMinSample=8\nInpPerfPfFloor=0.85\nInpPerfProbationMult=0.0\nInpPerfPfBoost=1.25\nInpPerfBoostMult=1.5
vwap-base,VWAP only control all execution toggles default,InpSymbol=BTCUSD\nInpEnableMeanReversion=false\nInpEnableVwapReversion=true\nInpEnableMomentum=false\nInpEnablePerfAllocation=false
vwap-tp,VWAP only dynamic TP overshoot 0.5 ATR,InpSymbol=BTCUSD\nInpEnableMeanReversion=false\nInpEnableVwapReversion=true\nInpEnableMomentum=false\nInpEnablePerfAllocation=false\nInpVwapTpOvershootAtr=0.5
vwap-hold,VWAP only volatility scaled max hold,InpSymbol=BTCUSD\nInpEnableMeanReversion=false\nInpEnableVwapReversion=true\nInpEnableMomentum=false\nInpEnablePerfAllocation=false\nInpVwapHoldAtrScale=true
vwap-vol,VWAP only volume confirmation 1.3x,InpSymbol=BTCUSD\nInpEnableMeanReversion=false\nInpEnableVwapReversion=true\nInpEnableMomentum=false\nInpEnablePerfAllocation=false\nInpVwapVolConfirm=true\nInpVwapVolMult=1.3
vwap-time,VWAP only avoid first and last UTC hour,InpSymbol=BTCUSD\nInpEnableMeanReversion=false\nInpEnableVwapReversion=true\nInpEnableMomentum=false\nInpEnablePerfAllocation=false\nInpVwapAvoidEdgeHours=1
vwap-all,VWAP only ablation survivors hold scaling plus volume confirm,InpSymbol=BTCUSD\nInpEnableMeanReversion=false\nInpEnableVwapReversion=true\nInpEnableMomentum=false\nInpEnablePerfAllocation=false\nInpVwapHoldAtrScale=true\nInpVwapVolConfirm=true\nInpVwapVolMult=1.3
rebaseline-perfoff,Phase0 allocation off pinned MR rebaseline,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=false\nInpBestSessionStart=8\nInpBestSessionEnd=18\nInpMrRsiOverbought=70\nInpMrRsiOversold=30\nInpCostGateEnabled=false
baseline-mrloose,Phase0 allocation off loosened MR delta,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=false\nInpBestSessionStart=7\nInpBestSessionEnd=21\nInpMrRsiOverbought=65\nInpMrRsiOversold=35\nInpCostGateEnabled=false
mom-only,Phase0 momentum only allocation off,InpSymbol=BTCUSD\nInpEnableMeanReversion=false\nInpEnableVwapReversion=false\nInpEnableMomentum=true\nInpEnablePerfAllocation=false\nInpCostGateEnabled=false
mom-mr-only,Phase0 momentum plus MR allocation off VWAP removed,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=false\nInpEnableMomentum=true\nInpEnablePerfAllocation=false\nInpBestSessionStart=8\nInpBestSessionEnd=18\nInpMrRsiOverbought=70\nInpMrRsiOversold=30\nInpCostGateEnabled=false
perfon-fixed,Phase0 allocation on fixed post profit attribution bug,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=true\nInpPerfWindowN=30\nInpPerfMinSample=8\nInpPerfPfFloor=0.85\nInpPerfProbationMult=0.0\nInpPerfBoostMult=1.0\nInpBestSessionStart=8\nInpBestSessionEnd=18\nInpMrRsiOverbought=70\nInpMrRsiOversold=30\nInpCostGateEnabled=false
perfon-soft-fixed,Phase0 allocation on soft probation fixed post bug,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=true\nInpPerfProbationMult=0.25\nInpBestSessionStart=8\nInpBestSessionEnd=18\nInpMrRsiOverbought=70\nInpMrRsiOversold=30\nInpCostGateEnabled=false
costgate-k15,Phase2 pure cost gate K1.5 allocation off pinned MR,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=false\nInpBestSessionStart=8\nInpBestSessionEnd=18\nInpMrRsiOverbought=70\nInpMrRsiOversold=30\nInpCostGateEnabled=true\nInpCostGateK=1.5\nInpCostGateCommPerLot=0.0\nInpCostGateMinAtrMult=0.0
costgate-k20,Phase2 pure cost gate K2.0 allocation off pinned MR,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=false\nInpBestSessionStart=8\nInpBestSessionEnd=18\nInpMrRsiOverbought=70\nInpMrRsiOversold=30\nInpCostGateEnabled=true\nInpCostGateK=2.0\nInpCostGateCommPerLot=0.0\nInpCostGateMinAtrMult=0.0
costgate-k30,Phase2 pure cost gate K3.0 allocation off pinned MR,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=false\nInpBestSessionStart=8\nInpBestSessionEnd=18\nInpMrRsiOverbought=70\nInpMrRsiOversold=30\nInpCostGateEnabled=true\nInpCostGateK=3.0\nInpCostGateCommPerLot=0.0\nInpCostGateMinAtrMult=0.0
edgegate-a05-k20,Phase2 ATR edge floor 0.5 allocation off pinned MR,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=false\nInpBestSessionStart=8\nInpBestSessionEnd=18\nInpMrRsiOverbought=70\nInpMrRsiOversold=30\nInpCostGateEnabled=true\nInpCostGateK=2.0\nInpCostGateCommPerLot=0.0\nInpCostGateMinAtrMult=0.5
edgegate-a075-k20,Phase2 ATR edge floor 0.75 allocation off pinned MR,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=false\nInpBestSessionStart=8\nInpBestSessionEnd=18\nInpMrRsiOverbought=70\nInpMrRsiOversold=30\nInpCostGateEnabled=true\nInpCostGateK=2.0\nInpCostGateCommPerLot=0.0\nInpCostGateMinAtrMult=0.75
perfon-edgegate,Phase2 allocation on with ATR edge floor,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=true\nInpPerfWindowN=30\nInpPerfMinSample=8\nInpPerfPfFloor=0.85\nInpPerfProbationMult=0.0\nInpPerfBoostMult=1.0\nInpBestSessionStart=8\nInpBestSessionEnd=18\nInpMrRsiOverbought=70\nInpMrRsiOversold=30\nInpCostGateEnabled=true\nInpCostGateK=2.0\nInpCostGateCommPerLot=0.0\nInpCostGateMinAtrMult=0.5
momonly-edgegate,Phase2 momentum only edge gate null control,InpSymbol=BTCUSD\nInpEnableMeanReversion=false\nInpEnableVwapReversion=false\nInpEnableMomentum=true\nInpEnablePerfAllocation=false\nInpCostGateEnabled=true\nInpCostGateK=2.0\nInpCostGateCommPerLot=0.0\nInpCostGateMinAtrMult=0.5
regimegate-only,Phase3 H1 ATR ratio regime gate only allocation off pinned MR,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=false\nInpBestSessionStart=8\nInpBestSessionEnd=18\nInpMrRsiOverbought=70\nInpMrRsiOversold=30\nInpCostGateEnabled=false\nInpRegimeGateEnabled=true\nInpRegimeMinH1AtrRatio=0.70\nInpRegimeMaxH1AtrRatio=0.0\nInpRegimeAtrAvgPeriod=100
regimegate-edge,Phase3 H1 regime gate plus ATR edge floor allocation off pinned MR,InpSymbol=BTCUSD\nInpEnableMeanReversion=true\nInpEnableVwapReversion=true\nInpEnableMomentum=true\nInpEnablePerfAllocation=false\nInpBestSessionStart=8\nInpBestSessionEnd=18\nInpMrRsiOverbought=70\nInpMrRsiOversold=30\nInpRegimeGateEnabled=true\nInpRegimeMinH1AtrRatio=0.70\nInpRegimeMaxH1AtrRatio=0.0\nInpRegimeAtrAvgPeriod=100\nInpCostGateEnabled=true\nInpCostGateK=2.0\nInpCostGateCommPerLot=0.0\nInpCostGateMinAtrMult=0.5
